VEHICLE_ID,EVENT_NO_TRIP,EVENT_NO_STOP,ACT_TIME,GPS_LATITUDE,GPS_LONGITUDE,METERS,OPD_DATE,GPS_SATELLITES,GPS_HDOP
4033,244247335,244247404,23036,45.54929,-122.620363,20728,24JAN2023:00:00:00,10.0,1.0
4033,244247335,244247410,23201,45.559128,-122.620413,21823,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247417,23437,45.572262,-122.62279,24201,24JAN2023:00:00:00,12.0,0.7
4033,244247335,244247413,23291,45.56718,-122.620425,22707,24JAN2023:00:00:00,11.0,0.9
4033,244247458,244247503,28578,45.569998,-122.608927,51009,24JAN2023:00:00:00,12.0,0.8
4033,244247458,244247506,28693,45.570363,-122.614508,51494,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247415,23391,45.570792,-122.61443,23528,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247592,33651,45.455725,-122.629968,71188,24JAN2023:00:00:00,12.0,0.7
4033,244247458,244247505,28663,45.570585,-122.613518,51402,24JAN2023:00:00:00,12.0,0.8
4033,244247458,244247510,28958,45.55985,-122.62043,53056,24JAN2023:00:00:00,12.0,1.0
4033,244247581,244247591,33635,45.454507,-122.629938,71052,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247685,37439,45.57718,-122.694735,94447,24JAN2023:00:00:00,12.0,0.8
4033,244247458,244247500,28442,45.570795,-122.615558,50487,24JAN2023:00:00:00,8.0,0.9
4033,244247581,244247682,37354,45.577202,-122.6865,93802,24JAN2023:00:00:00,12.0,0.8
4033,244247581,244247684,37424,45.577172,-122.69236,94262,24JAN2023:00:00:00,12.0,0.8
4033,244247458,244247511,29058,45.555737,-122.620432,53512,24JAN2023:00:00:00,11.0,0.9
4033,244247581,244247679,37159,45.577267,-122.673245,92771,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247785,44543,45.516757,-122.623038,121593,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247791,44864,45.505345,-122.622722,122857,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247940,50802,45.573028,-122.626845,150902,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247941,50832,45.573488,-122.629405,151111,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247941,50837,45.573678,-122.630328,151187,24JAN2023:00:00:00,11.0,0.9
4033,244247839,244247941,50872,45.575072,-122.636935,151724,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247943,50887,45.575617,-122.639512,151935,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247943,50892,45.575828,-122.640428,152012,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247788,44723,45.512903,-122.622997,122018,24JAN2023:00:00:00,12.0,1.2
4033,244247581,244247687,37564,45.577187,-122.704818,95234,24JAN2023:00:00:00,12.0,0.8
4033,244247581,244247686,37518,45.577193,-122.702222,95025,24JAN2023:00:00:00,12.0,0.8
4033,244247581,244247691,37754,45.581203,-122.72047,96550,24JAN2023:00:00:00,12.0,0.8
3232,244350890,244350908,17112,45.578787,-122.726873,27624,24JAN2023:00:00:00,11.0,0.9
3232,244351018,244351060,26847,45.473713,-122.671487,80189,24JAN2023:00:00:00,8.0,0.9
3232,244351018,244351065,27127,45.493447,-122.672932,82444,24JAN2023:00:00:00,11.0,0.8
3232,244350911,244350926,18753,45.583982,-122.700702,30914,24JAN2023:00:00:00,12.0,0.8
3232,244351226,244351258,37282,45.421098,-122.66757,142836,24JAN2023:00:00:00,12.0,0.8
3232,244351226,244351320,40138,45.584043,-122.708097,165227,24JAN2023:00:00:00,12.0,0.7
3232,244351448,244351471,48965,45.406775,-122.660012,210406,24JAN2023:00:00:00,12.0,0.8
3232,244351117,244351137,30834,45.57798,-122.697328,101563,24JAN2023:00:00:00,11.0,0.9
3232,244350911,244350988,21626,45.417295,-122.66347,52953,24JAN2023:00:00:00,12.0,0.7
3232,244351117,244351150,31506,45.543548,-122.677283,106038,24JAN2023:00:00:00,11.0,0.9
3232,244351448,244351472,49005,45.410423,-122.664098,211012,24JAN2023:00:00:00,12.0,0.8
3232,244351117,244351156,31740,45.526658,-122.674875,108617,24JAN2023:00:00:00,9.0,1.2
3232,244351117,244351211,34425,45.381462,-122.637357,127404,24JAN2023:00:00:00,12.0,0.7
3232,244351226,244351262,37462,45.423543,-122.661195,143874,24JAN2023:00:00:00,12.0,0.7
3232,244351018,244351075,27674,45.51557,-122.680523,85438,24JAN2023:00:00:00,11.0,1.0
3232,244351018,244351077,27794,45.519652,-122.67832,85913,24JAN2023:00:00:00,10.0,0.8
3232,244351117,244351155,31695,45.52744,-122.669708,108196,24JAN2023:00:00:00,8.0,1.1
